state_Name,state_Label,lga_Label,lga_Name,ward_Label,ward_Name,settlement_Label,settlement_Name,sample_count
Adamawa,Adamawa,Demsa,Demsa,Bille,Bille,Wurokiri,10111,19
Adamawa,Adamawa,Demsa,Demsa,Bille,Bille,Gansari,10112,110
Adamawa,Adamawa,Demsa,Demsa,Borrong,Borrong,Mbumara,10121,133
Adamawa,Adamawa,Demsa,Demsa,Borrong,Borrong,Bange,10122,190
Adamawa,Adamawa,Guyuk,Guyuk,Banjiram,Banjiram,Kwamajuwe,10211,37
Adamawa,Adamawa,Guyuk,Guyuk,Banjiram,Banjiram,Gidan Zana Gugu,10212,91
Adamawa,Adamawa,Guyuk,Guyuk,Bobini,Bobini,Waja,10221,51
Adamawa,Adamawa,Guyuk,Guyuk,Bobini,Bobini,Deremina,10222,94
Adamawa,Adamawa,Hong,Hong,Bangshika,Bangshika,Yadi Masallachi,10311,40
Adamawa,Adamawa,Hong,Hong,Bangshika,Bangshika,Bakin Kasuwa,10312,76
Adamawa,Adamawa,Hong,Hong,Daksiri,Daksiri,Kwadaku,10321,41
Adamawa,Adamawa,Hong,Hong,Daksiri,Daksiri,Daksiri Center,10322,25
Adamawa,Adamawa,Madagali,Madagali,Bebel,Bebel,Hidik,10411,28
Adamawa,Adamawa,Madagali,Madagali,Bebel,Bebel,Dirif A,10412,40
Adamawa,Adamawa,Madagali,Madagali,Duhu,Duhu,Shuwa Papka B,10421,70
Adamawa,Adamawa,Madagali,Madagali,Duhu,Duhu,Wuro Haruna B,10422,23
Adamawa,Adamawa,Michika,Michika,Bazza/Margi,Bazza_Margi,Ghumtika Kasa,10511,38
Adamawa,Adamawa,Michika,Michika,Bazza/Margi,Bazza_Margi,Ldaba,10512,21
Adamawa,Adamawa,Michika,Michika,Futudou/Futuless,Futudou_Futuless,Milike,10521,154
Adamawa,Adamawa,Michika,Michika,Futudou/Futuless,Futudou_Futuless,Ntsoki,10522,70
Adamawa,Adamawa,Song,Song,Dirma,Dirma,Dirma,10611,93
Adamawa,Adamawa,Song,Song,Dirma,Dirma,Roffo Ii,10612,39
Adamawa,Adamawa,Song,Song,Dumne,Dumne,Bariki,10621,57
Adamawa,Adamawa,Song,Song,Dumne,Dumne,Hauyang,10622,35
